MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating,link
Mouna Guru,Action,7.7,Santha Kumar,Arulnithi,746,2011.0,8.0,8.0,7.9,https://www.imdb.com/find/?q=MounaGuru
7 Aum Arivu,Action,6.2,A.R. Murugadoss,Suriya,9479,2011.0,9.0,9.0,8.066666667,https://www.imdb.com/find/?q=7AumArivu
Vaagai Sooda Vaa,Comedy,8.0,A. Sarkunam,Vimal,14522,2011.0,8.0,7.0,7.666666667,https://www.imdb.com/find/?q=VaagaiSoodaVaa
Mankatha,Action,7.6,Venkat Prabhu,Ajith Kumar,12276,2011.0,6.0,8.0,7.2,https://www.imdb.com/find/?q=Mankatha
Kanchana: Muni 2,Comedy,6.5,Lawrence Raghavendra,Lawrence Raghavendra,1044,2011.0,8.0,9.0,7.833333333,https://www.imdb.com/find/?q=Kanchana:Muni2
Deiva Thirumagal,Drama,8.1,A.L. Vijay,Vikram,44517,2011.0,9.0,9.0,8.7,https://www.imdb.com/find/?q=DeivaThirumagal
Vaanam,Action,7.2,Radha Krishna Jagarlamudi,T.R. Silambarasan,1307,2011.0,7.0,8.0,7.4,https://www.imdb.com/find/?q=Vaanam
Ko,Action,7.8,K.V. Anand,Jiiva,4759,2011.0,9.0,7.0,7.933333333,https://www.imdb.com/find/?q=Ko
Payanam,Action,7.3,Radha Mohan,Nagarjuna Akkineni,677,2011.0,6.0,8.0,7.1,https://www.imdb.com/find/?q=Payanam
Yutham Sei,Crime,8.0,Myshkin,Cheran,1678,2011.0,4.0,9.0,7.0,https://www.imdb.com/find/?q=YuthamSei
Aadukalam,Action,8.1,Vetrimaaran,Dhanush,4456,2011.0,8.0,9.0,8.366666667,https://www.imdb.com/find/?q=Aadukalam
Naduvula Konjam Pakkatha Kaanom,Comedy,8.2,Balaji Tharaneetharan,Vijay Sethupathi,4530,2012.0,7.0,8.0,7.733333333,https://www.imdb.com/find/?q=NaduvulaKonjamPakkathaKaanom
Thuppakki,Action,7.9,A.R. Murugadoss,Joseph Vijay,22577,2012.0,9.0,9.0,8.633333333,https://www.imdb.com/find/?q=Thuppakki
Pizza,Horror,8.0,Karthik Subbaraj,Vijay Sethupathi,6528,2012.0,2.0,8.0,6.0,https://www.imdb.com/find/?q=Pizza
Naan,Crime,7.5,Jeeva Shankar,Vijay Antony,1365,2012.0,3.0,7.0,5.833333333,https://www.imdb.com/find/?q=Naan
The Fly,Action,7.7,S.S. Rajamouli,J.V.V. Sathyanarayana,20590,2012.0,5.0,7.0,6.566666667,https://www.imdb.com/find/?q=TheFly
Kalakalappu,Comedy,6.9,Sundar C.,Vimal,1019,2012.0,7.0,8.0,7.3,https://www.imdb.com/find/?q=Kalakalappu
Vazhakku Enn 18/9,Crime,8.3,Balaji Sakthivel,Sri,1915,2012.0,5.0,9.0,7.433333333,https://www.imdb.com/find/?q=VazhakkuEnn18/9
Kumki,Drama,7.0,Prabu Solomon,Vikram Prabhu,1231,2012.0,8.0,9.0,8.0,https://www.imdb.com/find/?q=Kumki
Neethaane En Ponvasantham,Romance,6.5,Gautham Vasudev Menon,Jiiva,1500,2012.0,9.0,8.0,7.833333333,https://www.imdb.com/find/?q=NeethaaneEnPonvasantham
Thalaimuraigal,Drama,7.6,Balu Mahendra,Karthick,40034,2013.0,8.0,7.0,7.533333333,https://www.imdb.com/find/?q=Thalaimuraigal
Biriyani,Action,5.7,Venkat Prabhu,Karthi,1272,2013.0,7.0,8.0,6.9,https://www.imdb.com/find/?q=Biriyani
Ivan Veramaathiri,Action,6.0,M. Saravanan,Vikram Prabhu,290,2013.0,4.0,9.0,6.333333333,https://www.imdb.com/find/?q=IvanVeramaathiri
